,id,name,acronym,hexcolor,level,parent,order
0,0,void,void,#000000,0,,0
1,997,root,root,#ffffff,0,,0
2,8,Basic cell groups and regions,grey,#bfdae3,1,997.0,1
3,567,Cerebrum,CH,#b0f0ff,2,8.0,2
4,688,Cerebral cortex,CTX,#b0ffb8,3,567.0,3
5,695,Cortical plate,CTXpl,#70ff70,4,688.0,4
6,315,Isocortex,Isocortex,#70ff71,5,695.0,5
7,184,Frontal pole cerebral cortex,FRP,#268f45,6,315.0,6
8,68,Frontal pole layer 1,FRP1,#268f45,7,184.0,7
9,667,Frontal pole layer 2/3,FRP2/3,#268f45,7,184.0,8
10,526157192,Frontal pole layer 5,FRP5,#268f45,7,184.0,9
11,526157196,Frontal pole layer 6a,FRP6a,#268f45,7,184.0,10
12,526322264,Frontal pole layer 6b,FRP6b,#268f45,7,184.0,11
13,500,Somatomotor areas,MO,#1f9d5a,6,315.0,12
14,107,Somatomotor areas Layer 1,MO1,#1f9d5a,7,500.0,13
15,219,Somatomotor areas Layer 2/3,MO2/3,#1f9d5a,7,500.0,14
16,299,Somatomotor areas Layer 5,MO5,#1f9d5a,7,500.0,15
17,644,Somatomotor areas Layer 6a,MO6a,#1f9d5a,7,500.0,16
18,947,Somatomotor areas Layer 6b,MO6b,#1f9d5a,7,500.0,17
19,985,Primary motor area,MOp,#1f9d5a,7,500.0,18
20,320,Primary motor area Layer 1,MOp1,#1f9d5a,8,985.0,19
21,943,Primary motor area Layer 2/3,MOp2/3,#1f9d5a,8,985.0,20
22,648,Primary motor area Layer 5,MOp5,#1f9d5a,8,985.0,21
23,844,Primary motor area Layer 6a,MOp6a,#1f9d5a,8,985.0,22
24,882,Primary motor area Layer 6b,MOp6b,#1f9d5a,8,985.0,23
25,993,Secondary motor area,MOs,#1f9d5a,7,500.0,24
26,656,Secondary motor area layer 1,MOs1,#1f9d5a,8,993.0,25
27,962,Secondary motor area layer 2/3,MOs2/3,#1f9d5a,8,993.0,26
28,767,Secondary motor area layer 5,MOs5,#1f9d5a,8,993.0,27
29,1021,Secondary motor area layer 6a,MOs6a,#1f9d5a,8,993.0,28
30,1085,Secondary motor area layer 6b,MOs6b,#1f9d5a,8,993.0,29
31,453,Somatosensory areas,SS,#188064,6,315.0,30
32,12993,Somatosensory areas layer 1,SS1,#188064,7,453.0,31
33,12994,Somatosensory areas layer 2/3,SS2/3,#188064,7,453.0,32
34,12995,Somatosensory areas layer 4,SS4,#188064,7,453.0,33
35,12996,Somatosensory areas layer 5,SS5,#188064,7,453.0,34
36,12997,Somatosensory areas layer 6a,SS6a,#188064,7,453.0,35
37,12998,Somatosensory areas layer 6b,SS6b,#188064,7,453.0,36
38,322,Primary somatosensory area,SSp,#188064,7,453.0,37
39,793,Primary somatosensory area layer 1,SSp1,#188064,8,322.0,38
40,346,Primary somatosensory area layer 2/3,SSp2/3,#188064,8,322.0,39
41,865,Primary somatosensory area layer 4,SSp4,#188064,8,322.0,40
42,921,Primary somatosensory area layer 5,SSp5,#188064,8,322.0,41
43,686,Primary somatosensory area layer 6a,SSp6a,#188064,8,322.0,42
44,719,Primary somatosensory area layer 6b,SSp6b,#188064,8,322.0,43
45,353,Primary somatosensory area nose,SSp-n,#188064,8,322.0,44
46,558,Primary somatosensory area nose layer 1,SSp-n1,#188064,9,353.0,45
47,838,Primary somatosensory area nose layer 2/3,SSp-n2/3,#188064,9,353.0,46
48,654,Primary somatosensory area nose layer 4,SSp-n4,#188064,9,353.0,47
49,702,Primary somatosensory area nose layer 5,SSp-n5,#188064,9,353.0,48
50,889,Primary somatosensory area nose layer 6a,SSp-n6a,#188064,9,353.0,49
51,929,Primary somatosensory area nose layer 6b,SSp-n6b,#188064,9,353.0,50
52,329,Primary somatosensory area barrel field,SSp-bfd,#188064,8,322.0,51
53,981,Primary somatosensory area barrel field layer 1,SSp-bfd1,#188064,9,329.0,52
54,201,Primary somatosensory area barrel field layer 2/3,SSp-bfd2/3,#188064,9,329.0,53
55,1047,Primary somatosensory area barrel field layer 4,SSp-bfd4,#188064,9,329.0,54
56,1070,Primary somatosensory area barrel field layer 5,SSp-bfd5,#188064,9,329.0,55
57,1038,Primary somatosensory area barrel field layer 6a,SSp-bfd6a,#188064,9,329.0,56
58,1062,Primary somatosensory area barrel field layer 6b,SSp-bfd6b,#188064,9,329.0,57
59,480149202,Rostrolateral lateral visual area,VISrll,#188064,9,329.0,58
60,480149206,Rostrolateral lateral visual area layer 1,VISrll1,#188064,10,480149202.0,59
61,480149210,Rostrolateral lateral visual area layer 2/3,VISrll2/3,#188064,10,480149202.0,60
62,480149214,Rostrolateral lateral visual area layer 4,VISrll4,#188064,10,480149202.0,61
63,480149218,Rostrolateral lateral visual arealayer 5,VISrll5,#188064,10,480149202.0,62
64,480149222,Rostrolateral lateral visual area layer 6a,VISrll6a,#188064,10,480149202.0,63
65,480149226,Rostrolateral lateral visual area layer 6b,VISrll6b,#188064,10,480149202.0,64
66,337,Primary somatosensory area lower limb,SSp-ll,#188064,8,322.0,65
67,1030,Primary somatosensory area lower limb layer 1,SSp-ll1,#188064,9,337.0,66
68,113,Primary somatosensory area lower limb layer 2/3,SSp-ll2/3,#188064,9,337.0,67
69,1094,Primary somatosensory area lower limb layer 4,SSp-ll4,#188064,9,337.0,68
70,1128,Primary somatosensory area lower limb layer 5,SSp-ll5,#188064,9,337.0,69
71,478,Primary somatosensory area lower limb layer 6a,SSp-ll6a,#188064,9,337.0,70
72,510,Primary somatosensory area lower limb layer 6b,SSp-ll6b,#188064,9,337.0,71
73,345,Primary somatosensory area mouth,SSp-m,#188064,8,322.0,72
74,878,Primary somatosensory area mouth layer 1,SSp-m1,#188064,9,345.0,73
75,657,Primary somatosensory area mouth layer 2/3,SSp-m2/3,#188064,9,345.0,74
